AÑO,TÍTULO,STREAMING,FOTOGRAMA,AVANCE,MARCO,AKA,INFORMACIÓN,CRÉDITOS,CRONOLOGÍA,PROCEDENCIA,PRESUPUESTO,LOCACIONES,SERIADO,VERSIÓN,FORMATO,RELACIÓN DE ASPECTO,COLOR,DURACIÓN,IDIOMA,MASTER,DERIVADOS,CONSERVACIÓN,PUBLICACIONES,FUENTES,CONTRIBUIDORES,PROYECCIONES
TBA,3868 CRISTIAN LAIME,,https://lh3.googleusercontent.com/pw/AP1GczPFO_Gw18NsxiZJuKAZDo8I2SYe1ZnWhwixS8q2uxIlcj3aLCVwcuRH-uXVB0KZxuov9sWJ_KxPwixGbN4R6IkXlIk5AB0v1nNJjuKoGe9nj8kAtaipjKxyfjD-S2R4k5S4GGn3lDDScUEUK-AhF4s6=w959-h505-s-no-gm?authuser=1; https://lh3.googleusercontent.com/pw/AP1GczPA8rq6tM4kVKxWkHOpGJLtVWz1FhV_eDH7RL4XAmaoHUUhZDpGyzO8hGb98XZk9Q7qJ064tGElAqgf-BghLt3IidB6-M3G1vw6k9mPrXc9D08sbH_XOccEvBQIa_ydrNsXmeVUh8FQ6-8AzS0uzSH0=w959-h505-s-no-gm?authuser=1; https://lh3.googleusercontent.com/pw/AP1GczOE3FUg_I7ZiXKzrlsG2pi14NnRNOwWymp0Iq15wv0PbSgqPG1oCjLu3sw4gBwMUMQ4zz_pEJGazS4ZLfeEIofKAWkgMHRpsjIvt3mu0yj3494H2n1YT3yh9iav5XF23_i1ATdQY4FHE-EatI7dHF4r=w959-h505-s-no-gm?authuser=1; https://lh3.googleusercontent.com/pw/AP1GczOJB5nuDU_5omfbyFDXak7N8B_vWG78GQ_so-R0EnlR4H0VNVqy-yQd7MihhfPaHDAoTf8KunZZpF1y3cjDQy-6icpXoSR6HCPWFd_AYTwCeNfsCCQX94FXfhViNWOI89fY0faun7YSAiPa4uuoB4mW=w959-h505-s-no-gm?authuser=1; https://lh3.googleusercontent.com/pw/AP1GczPp_cAN_7rL_gBu0HmWfOCj-znVUoaQrijKsbjwSDGjETW-bktdjR8kL3xeOwAhsrrVxAlycZdz56CCLQdSxyv7z_EkYWhCqneVDOpowLjMnVOkFrrC5kOHcNKyrI2x-PV9JHg3kGq5FKyc6nNlS8X5=w959-h505-s-no-gm?authuser=1; https://lh3.googleusercontent.com/pw/AP1GczM8Dqg4uMrp_7_p06WNqTM8FamOJxj0nujQIWID1QrYPGJt82hpJtBop7-1S7t3AIfO_qImo8beFNoTqHoEUlewImOTCc3oAQtbF3BOyqgwmhhmeI6aesuWxgfKfDp0R-RaLl5uvA84CXblXatROwZ7=w959-h505-s-no-gm?authuser=1,Tráiler [https://www.instagram.com/reel/DDfqm56vf09/],,,,"{Créditos en tráiler:}

«3868 CRISTIAN LAIME»

Dirección | Christian LANZA

Dirección de forografía | Daniel SANZ

Música | Cergio PRUDENCIO

Producción | Mateo PRIETO","2024 [grabación; finalización]
2025 [estreno]",BOLIVIA,,,,Original,Digital,1.90:1,Color / Sepia,,,,,,,Nota en LatinaRepublic [https://latinarepublic.com/2024/12/24/cristian-laime-identity-nature-and-heritage-in-bolivian-art/ ],Ricardo Dávalos,"[AMALIA DE GALLARDO - Concurso municipal de video]
2024"
TBA,BARTOLINA,,,,Serie 'Historias de libertad: Personajes y momentos memorables en el transcurso del bicentenario de Bolivia',,,"{Créditos en copia de exhibición:}

\ [ESTADO PLURINACIONAL DE BOLIVIA]; [BICENTENARIO DE BOLIVIA]; [ADECINE]; [SUEÑO BICENTENARIO]
Presentan

Una producción de \ [FUNDACIÓN GRUPO UKAMAU]

Idea original de | Jorge SANJINÉS

Producida por | Monica BUSTILLOS TROCHE

Coordinación general | Milton GUZMÁN GIRONDA

Coordinación de dirección | Oscar DURÁN RALDES

\ [HISTORIAS DE LIBERTAD]

Dirección general | Jorge SANJINÉS ARAMAYO

«BARTOLINA»

Guión y dirección | Fernando VARGAS; Verónica CORDOVA",,BOLIVIA,,,,,,,,,,,,,,"SENAPI. (2025/03). ""Boletín de publicaciones"". [https://www.senapi.gob.bo/sites/default/files/senapi/gaceta/gaceta-53-dautor-20250506.pdf]",Ricardo Dávalos,
TBA,CAMINOS DE LUCHA,,,,Serie 'Historias de libertad: Personajes y momentos memorables en el transcurso del bicentenario de Bolivia',,,"{Créditos en copia de exhibición:}

\ [ESTADO PLURINACIONAL DE BOLIVIA]; [BICENTENARIO DE BOLIVIA]; [ADECINE]; [SUEÑO BICENTENARIO]
Presentan

Una producción de \ [FUNDACIÓN GRUPO UKAMAU]

Idea original de | Jorge SANJINÉS

Producida por | Monica BUSTILLOS TROCHE

Coordinación general | Milton GUZMÁN GIRONDA

Coordinación de dirección | Oscar DURÁN RALDES

\ [HISTORIAS DE LIBERTAD]

Dirección general | Jorge SANJINÉS ARAMAYO

«CAMINOS DE LUCHA»

Guión y dirección | Iván SANJINÉS",2025 [estreno],BOLIVIA,,,,,,,,,,,,,,"SENAPI. (2024/12). ""Boletín de publicaciones"". [https://www.senapi.gob.bo/sites/default/files/senapi/gaceta/gaceta-50-dautor-20250206.pdf]",Ricardo Dávalos,
TBA,CH'ALLA,,,,,,,"Producción \ [FREEWORDS]
Dirección | Mauricio ALVARADO",2025 [grabación],BOLIVIA,,,,Original,Digital,,,,,,,,,,Ricardo Dávalos,
TBA,CHOROS,,https://lh3.googleusercontent.com/pw/AP1GczMI9l541lj2sBlYx_X1EpVygF36zyFrbKuSYZEPpfe5K74pCpE-N4RBO_ens0kE29sUCj4rR81vAHuBS5RI02zC2Wa1QRiX9fCjLcuqm6FKHVQ4Na_vU-zmqOFgNPOtLec8W26QsosRPZwVJC0_pj-g=w959-h539-s-no-gm?authuser=1,,,,,"{Créditos en afiche:}

Elenco | Raymundo RAMOS; Rodrigo BONILLA HERBAS; Luis BEDROW; Tomás PINTO

«CHOROS»

Un film de | Kalos TAPIA S.

Guonista/Director | Kalos TAPIA S.
Procutores | Edwin TAPIA SALINAS; Kalos TAPIA S.; Milan SANTANDER SWEN; Patricia VASOALTO
Directora de producción | Catherine ANTEZANA
Director de fotografía | Luis BORDA
Asistente de fotografía | Juve Adauto LUIZAGA
Asistente de dirección | Ida BAYÁ
Casting | Elisabeth SALAZAR; Kalos TAPIS S.; Catherine ANTEZANA
Scouting | Catherine ANTEZANA
Continuista | Ana Elena SEPÚLVEDA
Jefe Gafer | Jorge GUZMÁN
Gaffer 2 | Felix ""El Gato"" RASGUIDO
Gaffer 3 | Marco Antonio PAZ VÁSQUEZ
Asistente de producción 1 | Nadia Valeria AGREDA SALAZAR
Asistente de producción 2 | Sofía RICO GARCÍA
Claqueta | Ana Elena SEPÚLVEDA
Director de arte | Carlos GUILLÉN GIACOMAN
Maquillake | Drina WEBSTER
Vestuario | Nona MARtÍNEZ
Asistente de arte | Guadalupe CANDIA FRÍAS
Director de sonido | Eric V. ARIAS
Asistente de sonido | William MONTAÑO GUZMÁN
Música | Chicas Delfín; Highlander
Postproducción de sonido | Eric V. ARIAS
Montaje | Pablo Mauricio BUSTAMANTE SALINAS
Edición | Kalos TAPIA S.
Fotografía fija | Pablo Mauricio BUSTAMANTE SALINAS
Colorización | Luis BORDA
FX | Narry FLORES
Diseño Gráfico | Daniel ACARAPI CHURATA
Graffitis | Smooth
Making of | Daniel ACARAPI CHURATA

Una producción de \ [FASCINE]

En asociación con \ [SERPENTINA]; [ROMELI STUDIOS]; [SURF CINE]; [ANIMARTE]; [FREEWORDS]; [CUADRILLA]

Agradecimientos \ [ENCUENTRO IBEROAMERICANO DE CINEASTAS EMERGEGNTES]; [ÍCARO]

Cochabamba, 2025",,BOLIVIA,,,,,,,,,,,,,,Fascine Films - Página de facebook [https://www.facebook.com/share/p/1HuwLkrBLX/],Ricardo Dávalos,
TBA,DEBAJO DE LA IRA,,https://lh3.googleusercontent.com/pw/AP1GczNk4-zs1US3_ZOSYYcSYfJWJkyAF4thW1G0lXUvShAAmqXTA3v4dlDMLfkKyKYRV68IseKoSQCnXi4IdGeFemjOmmwq1pcmk5v7DVvGokC6DCsaMrledsaEPoUN05ne36e6wu35vOAsl9sw5Vu6sE6P=w959-h539-s-no-gm?authuser=6; https://lh3.googleusercontent.com/pw/AP1GczNQL1mrzGkAA-Ob7EZtDhwoBiRuDp2nbyNX8ZTnnjk1Y3Ztot5VnnkpaiG6Ixq5m0yToecpQxfZPQcV2Y1fmE1rWzvWmh4bolhuhMXDm5gWruW5pHNHpS9HA3-DCmoXeA0rfjJISmXVRTAvsacFtUZz=w959-h539-s-no-gm?authuser=6; https://lh3.googleusercontent.com/pw/AP1GczPXr9ZucMq_W-Jfu8PIRtGjXrzBjLHFWR4le0BdnoRRH2qbY22xeFCiGUgsjXrreCHm1ldQom08oxGBfyzR7WmOORPf-La0RDR4-Jf_EXC2Fd7xdJuB2IwQiSwwPxaFwedf8501ivh3b2pf6qwhwzZ6=w959-h539-s-no-gm?authuser=6; https://lh3.googleusercontent.com/pw/AP1GczO1nh6w9DvBDzNh561qjP1oUJimBu-h5xLaEsbnc-pCpa50kdQO-Y9E7MT8XBIfpE6WvLQI6_AW-v6o__bks0UM__OFeThx9MEruYeOBN635eDnFXrjScixcodqWA_FqVCHzFNwHGPO2oUwMkzPdvjw=w959-h539-s-no-gm?authuser=6; https://lh3.googleusercontent.com/pw/AP1GczNGPosM1P41YfeC8STQ_JDEkpy8YQxl9uouuO3Gs6RI2fXtPGfEVO0xXe6TLQaobs7jfRGZ1o3Sf52a5mjqoa4WLNS6kPdS9SOW2xFmYzFHwPAtj8C_7SYK-pilEy4-iOeQPitkk4JXr1MZ_v8_lZSv=w959-h539-s-no-gm?authuser=6; https://lh3.googleusercontent.com/pw/AP1GczNLUbiBTsZO1f1j-m5UCysmFiDp0uY4qlMaZDyNx-0qn7PlaPk5SZiAM64IvNgmxGvGqs_pVu0N7suDlbtKSnxWBnQ6f2-YgOyIy6vKOnwVkWTyaH219TTez81cBgdd1-91mKUeauUsWdtcZGyGvkN1=w959-h539-s-no-gm?authuser=1,Tráiler [https://vimeo.com/1072163001],,BENEATH THE FURY | Inglés,"Antonio Vaca es un torero boliviano retirado de 57 años que decide volver a torear con el objetivo de encontrar a su hija secuestrada.Rimer Veizaga es un criador de toros peruano. Asume el negocio familiar llevando los toros más bravos a fiestas locales y pueblos recónditos por diferentes regiones de Perú y por algunos países como Ecuador y principalmente a Bolivia. José Vargas, cumple una condena en una de las cárceles más peligrosas de Bolivia. Antes de ingresar en ella, él se dedicaba a robos menores, peleas clandestinas de perros y apuestas ilegales. “Debajo de la ira”, es un documental que indaga e interpreta los conceptos de libertad, encierro e ira. Significados que están inmersos en tres personajes y contextos, que, aunque mantengan una distancia aparente, están unidos en estas concepciones. ||| Ibermedia","{Créditos en tráiler:}

\ [RODANTE FILMS]; [ANIMALITA FILMS]
Presentan

«DEBAJO DE LA IRA»

Producción ejecutiva | Ariel SOTO PAZ; Carolina DENEGRI

Dirección de fotografía y cámara | Eduardo GÓMEZ
Montaje | Juan Pablo DI BITONTO (EDA)
Diseño de sonito y mezcla | Willy ILIZARBE (ASAV)
Música original | Santiago PILLADO - MATHEU

Escrito y dirigido por | Eduardo PAREDES GÓMEZ","2019 [proyecto]
2025 [estreno]","BOLIVIA, PERÚ",,,,Original,Digital,,,1:20:00 [?],V.O. | ESPAÑOL,,,,,"SENAPI. (2019/03). ""Gaceta de publicaciones"". [https://www.senapi.gob.bo/sites/default/files/senapi/gaceta/gaceta-1163-dautor-20190510.pdf]
Ibermedia - Sitio web [https://www.programaibermedia.com/proyectos/debajo-de-la-ira/ ]
PIU - Desarollo de proyectos [http://piu.ea-cod3.com/cine-y-audiovisual-2/desarrollo-de-proyectos/]",Ricardo Dávalos,
TBA,ECFRASIS,,https://lh3.googleusercontent.com/pw/AP1GczOBCNxmSXVtbWHYZ5LXDOQ4QPg-T6ftshWlsti7bcOzomr2lqEMkw4nWfMBUADbkP3mWrk-DF37ir87f_N_uBwvU9nQ7EsZPiYBPXSbfl9H9PVnq1_d-XS_VyAAkmTCDpHjGTB1eEJ055qS4F1-Is5x=w944-h531-s-no-gm?authuser=11; https://lh3.googleusercontent.com/pw/AP1GczPFUW0cgzutNbTTgaoiid-iIPFgoPOWmgWzPFaKR6lEWv3Tz7xgZtSAXIMlGSH7hJejDpykDkZv-i2T7e92rnBsZCERk6bQboCZIGLy01svrycoCMUmzF-96SlIEq1lbNrGkcEdG039i8w7RG4pQ-Rs=w944-h531-s-no-gm?authuser=1; https://lh3.googleusercontent.com/pw/AP1GczP1mL0U1Mgp46Qs7zRi9n_Aemt8TykgQN5dshLGFxRvo_kJkrC4RQaSJrfUnU5Fub0wO8ynI7-PbgRZKrfXHS5XBWLuP-ZdCBG6UbtqfCGqo28Xj5zyIEdevaAahIrgKKLnIvhvARmzGequeoJDCK8E=w944-h531-s-no-gm?authuser=1; https://lh3.googleusercontent.com/pw/AP1GczNVDXbLbiB6r-yWIyVrRIMbuR4Wv_qFgqTX3EzM1wta2YvzwQ2_4KPRe_tDLm_cQy7jIJipSLJtF2TOP_nIsH-qZO9QjY3F3eR-Bl4LJ5NW89EvK5Ef9q326SpVAiKRogZrglnPDTiX1oHgsH7atMTS=w944-h531-s-no-gm?authuser=1; https://lh3.googleusercontent.com/pw/AP1GczN-M8JXaLz70jj8UlLAipRzjNhhgc00CCduCuI5HNUaIenabzfTX5PEUiKiTlC8AKK7-oH31FlqJs3DjKLQp69p-tzMjEPne-NIU3FPKquUxdM9aQyHn2Ho1RmP2SC8fhlJZQiZaVrHuIwSn4XgXigf=w944-h531-s-no-gm?authuser=1; https://lh3.googleusercontent.com/pw/AP1GczPmVaFQzy5N9nIE7HifpXomp0JCalVW6t0_bXWz2ZlIh8MkGls71Ljd6z_ZEShG9WpqlfjMojUexF0CPxSjk3sJZtJjLvwZJ5NeVMtSBeP66iK6Yf3KRq_iLjLMWMjllXWtTdHe290VjKVBdRvTAxYU=w944-h531-s-no-gm?authuser=1,,,,"Soy la única hija de mis dos padres y siempre busqué un lugar en mi familia. En este proyecto me acerco a mi padre a través de sus fotografías familiares y, sobre todo, de sus radiografías: imágenes médicas que me revelan el cuerpo como un archivo vivo. Superpongo recuerdos y huesos, relatos e imágenes, para mostrar que la memoria no solo se guarda en las fotos, sino que también habita en la materia. Este trabajo es un intento de escuchar lo que el cuerpo de mi padre aún guarda, de crear un puente con él y, al mismo tiempo, conmigo misma. ||| Sofía Sevilla",Direccón | Sofía SEVILLA,,BOLIVIA,,,,,Digital,,Color / Blanco y negro,0:06:46,"DIÁLOGOS (V.O.) | ESPAÑOL
TEXTOS | ESPAÑOL",,,,,,Ricardo Dávalos,
TBA,EL MUSEO DE LA SOLEDAD,,,,,,,"{Créditos en afiche:}

\ [CINECÉFIRO]
Presenta

«EL MUSEO DE LA SOLEDAD»

Una película de | OKIE CÁRDENAS

Con la actuación de | Jimmy GIRA; Mireille HOFFMANN; André GOÉS

Sonido directo | Armando CASTRO

Director de arte | Mauricio CÁRDENAS

Director de fotografía | Óscar BELTRAN CUBA

Guión | Okie CÁRDENAS; Jimmy GIRA

Dirección | Okie CÁRDENAS",,BOLIVIA,,,,,,,,,,,,,,"Nota en Ahora el Pueblo [https://ahoraelpueblo.bo/index.php/nacional/culturas/pelicula-boliviana-el-museo-de-la-soledad-termina-su-rodaje-en-la-paz]
El museo de la soledad - Página de facebook [https://www.facebook.com/profile.php?id=100091598389006]",Ricardo Dávalos,
TBA,EN LA MEMORIA DE NICA,,https://lh3.googleusercontent.com/pw/AP1GczN5nU7d9dvDCJkDlSu3lflldc5EU4FAh61UFtkZ8gpy9fJU9AD9-xMSyuBDwUBNG1YZfafqJGko9usp0k8y5F7f8M57rEg5MeunMLmj-ZMiQW1yJbi5jm37Mo7JGAflpZ6x9f_4us-RR62ro4VoZEM7=w959-h491-s-no-gm?authuser=1; https://lh3.googleusercontent.com/pw/AP1GczN7qeDy-1azH2BtKsE5pC9vNH04qBF0_XjGkk_R_TW0tlUruqKFqe01f5pQBXPX_-7zamEdnQYnfyrfrWKxEVK7IEJaO2ovCZqOyeZIrvSI03krWxpcE9PPyatZiE4mxvGlwrBOkMpCnF66I1ZsjdgT=w959-h491-s-no-gm?authuser=1; https://lh3.googleusercontent.com/pw/AP1GczNAKqHxQkfObHEyy7FVoBugOn-JApqjlC089UhMdVfMMPh9yWB7XwGBE28vLNNPPsuQOtZe9AlspN40hXg6G07Xo8mvvMmhg29pen0dVtA7iZdZdJOSi5dhWMUke-7ay1nnLpXPCBfslI_-ltzKjucO=w959-h491-s-no-gm?authuser=1; https://lh3.googleusercontent.com/pw/AP1GczPWMqaL87oZ9dw-sfh6leyZUZ9bf3NkLHuCS-XY6kIbBlPyS4NIsUmJHh7KPI_y6pVkgSf701gqZzHeYymoq08qYmdm-zzUeUZG4qkf2i4zIwzcNxhqEuzQ0whYxEFiCGuU-lgdajDgu0_AxKoy9Umh=w959-h491-s-no-gm?authuser=1; https://lh3.googleusercontent.com/pw/AP1GczMBL6o8tpj3J8ezR7vjGe4TZMsBCjK0iGJRmncvNayeOl4YrEWbbK0MX_g2aTv_gm-8vR6yMGN6pSWCDDkxGXQXsK-oJvWC_EzWze8syJqDrE9hL3LUG89VkzpGq7cEk4AcbZ73ei5yE2lxhf-EB3mY=w959-h491-s-no-gm?authuser=1; https://lh3.googleusercontent.com/pw/AP1GczNWHSOeOxiym-xcWgpfcOmV2MmJjZs4K1hLOqMPihcWkRXb_6AdP2MDEt7icMDDRdiaY0II_MRsp3aLdJsqtlh8uoQj-29LnpBMn99w2_XBbwdqzU9N_6AEkjYUzLtaYADOMj3ck_1S42BUsD3wyg_n=w959-h491-s-no-gm?authuser=1,Tráiler [https://vimeo.com/1086980365],,NICA | Español (Provisional),,"Con | Luis BREDOW

Una película de | Daniel SUÁREZ

Dirección de fotografía 1 Juan Pablo URIOSTE","2023 [grabación]
2025 [finalización; estreno]",BOLIVIA,,,,,,,,,,,,,,En la memoria de Nica - Página de instagram [https://www.instagram.com/en_la_memoria_de_nica/],Ricardo Dávalos,
TBA,ETERNA,,,,,,,,,BOLIVIA,,,,,,,,,,,,,,,Ricardo Dávalos,
